TRM,NRM,N,CSL,UNI,c’
TRM,NRM,N,CSL,DUP,cc’
TRM,NRM,N,CSL,DCT,lc’
TRM,NRM,N,CSL,AGG,rc’
TRM,NRM,N,CSL,SEG,nc’
TRM,NRM,N,CSL,CPN,řc’
TRM,NRM,N,CSL,COH,mc’
TRM,NRM,N,CSL,CST,ňc’
TRM,NRM,N,CSL,MLT,çt’
TRM,NRM,N,ASO,UNI,č’
TRM,NRM,N,ASO,DUP,čč’
TRM,NRM,N,ASO,DCT,lč’
TRM,NRM,N,ASO,AGG,rč’
TRM,NRM,N,ASO,SEG,nč’
TRM,NRM,N,ASO,CPN,řč’
TRM,NRM,N,ASO,COH,mč’
TRM,NRM,N,ASO,CST,ňč’
TRM,NRM,N,ASO,MLT,çk’
TRM,NRM,N,VAR,UNI,cʰ
TRM,NRM,N,VAR,DUP,ccʰ
TRM,NRM,N,VAR,DCT,lcʰ
TRM,NRM,N,VAR,AGG,rcʰ
TRM,NRM,N,VAR,SEG,ncʰ
TRM,NRM,N,VAR,CPN,řcʰ
TRM,NRM,N,VAR,COH,mcʰ
TRM,NRM,N,VAR,CST,ňcʰ
TRM,NRM,N,VAR,MLT,çp’
TRM,NRM,N,COA,UNI,čʰ
TRM,NRM,N,COA,DUP,ččʰ
TRM,NRM,N,COA,DCT,lčʰ
TRM,NRM,N,COA,AGG,rčʰ
TRM,NRM,N,COA,SEG,nčʰ
TRM,NRM,N,COA,CPN,řčʰ
TRM,NRM,N,COA,COH,mčʰ
TRM,NRM,N,COA,CST,ňčʰ
TRM,NRM,N,COA,MLT,çq’
TRM,NRM,A,CSL,UNI,pps
TRM,NRM,A,CSL,UNI,pss
TRM,NRM,A,CSL,DUP,rps
TRM,NRM,A,CSL,DCT,lps
TRM,NRM,A,CSL,AGG,rbz
TRM,NRM,A,CSL,SEG,lbz
TRM,NRM,A,CSL,CPN,řps
TRM,NRM,A,CSL,COH,řbz
TRM,NRM,A,CSL,CST,ňss
TRM,NRM,A,CSL,MLT,çtʰ
TRM,NRM,A,ASO,UNI,ppš
TRM,NRM,A,ASO,UNI,pšš
TRM,NRM,A,ASO,DUP,rpš
TRM,NRM,A,ASO,DCT,lpš
TRM,NRM,A,ASO,AGG,rbž
TRM,NRM,A,ASO,SEG,lbž
TRM,NRM,A,ASO,CPN,řpš
